ID,Title,Location,Salary,Summary
b23e63187a91d753,Android 개발,"모바일식권, 기업 식대관리 솔루션 서울 강남구",,"및 유지보수 [ 자격요건 ] - 경력 : 7년 이상 - 전공 : 컴퓨터 관련 전공자 - Android, Java 능통자 - 모바일 UI / UX에 대한 높은 이해도 - Android 최신 트랜드를 이용한 개발 경험 - 개발..."
a55478c1bee1cdc8,응용 프로그램 개발,쓰리뷰 성남 중원구,,[직무내용] C# or JAVA를 이용한 응용프로그램 개발 [근무시간 및... 통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>C#
b7f7dcc3649070fd,저축은행 ICT 개발팀,국내자본 저축은행 서울 구로구,,"뱅킹, 스마트뱅킹) 채널 개발 및 운영 [자격요건] - 4년제 정규 대졸 이상 - 프로그램 개발자 : JSP, JAVA, ORACLE/SQL,JS, Socket, OpenAPI, UNIX, LINUX 등 활용 가능자 - 프로..."
f810ea173c182d43,자바(JAVA) 웹개발 경력직,온더아이티 성남 분당구,,"JAVA) 웹개발 경력직 모집 모집부문 및 자격요건 모집부문 담당업무 자격요건 인원 SW개발 sw엔지니어 웹개발 java [담당업무] 자바( JAVA... 명 응용 프로그래밍 C, C++, JAVA, 임베디드 개발 유경험자 네트워..."
c2776da0b5fbc276,Platform SW엔지니어,STB등 디바이스 개발 및 공급 성남 분당구,,"경력 3~10년 사원~과장급 -Skill : Programming language - C, C++, JAVA -외국어 : 고객 E-mail communication 문제 없는 수준, 고객 meeting 및 conference..."
2f3c39f93e5abf96,(주)신세계아이앤씨 상반기 AI/기획/데이터분석 부문 인재,신세계아이앤씨 서울 중구,,"Unreal 3D기반 개발경력 3년 이상 ※ 상기 요건 中 일부 경험자 지원가능 우대사항 -. C#/C/C++, Java 프로그래밍 개발경력 -. HMD 어플리케이션 개발 경력 ※ 공고부문은 채용부문별로 당사 제반사정에 따라..."
2362e9522d36bb2a,금융그룹 IT개발3팀 시스템 개발 및 유지보수,ICT 개발 운영 정보보호 및 보안 서울 구로구,,"ERP, 시스템 신규개발 및 유지보수 [자격요건] 전문대 졸 이상 시스템 개발 및 유지보수 경력 3~4년 JAVA, JSP, Javascript, PL & SQL 경험자 필수 넥사크로, 가우스 경험자 우대 * 개발3팀 구성은..."
dc0e756691b87299,[TmaxSoft/기술] Soft 기술지원 엔지니어,티맥스소프트 성남 분당구,,"기술 및 프로젝트 수행에 따른 기술 이슈 대응 고객사 제품 유지보수 비상주 프로젝트 수행 자격요건 C/ Java 기반의 프로젝트 개발 경험자 프레임워크, 인터페이스(FEP, EAI, MCI) 기반 프로젝트 개발 경험자..."
275f238967d5587f,저축은행 ICT운영팀 WAS 경력 채용,국내자본 저축은행 서울 구로구,,"Apahce / WebtoB / OHS 운영시스템 기술진단 및 최적화 튜닝, 장애원인 분석 및 조치 업무 - JAVA/JVM 성능 튜닝 등 [자격요건] - 4년제 정규 대졸 이상... 경력 5년~8년 - 금융권 근무경력..."
7fd822756481de4f,JAVA개발자,엔텔스 서울 강남구,,"4년) 성별 무관 기타 담당업무 JAVA개발자 모집 커리어 양식 지원 아직... 직무/산업 직무별(직종) 웹프로그래머웹프로그래머, JAVA 응용프로그래머응용프로그래머, 전산전공, Java 시스템프로그래머시스템프로그래머 산업별(업종..."
d56e72c8b47ac63a,"Senior, Back-end Engineer (Fintech platf...",Coupang 3.1 서울,,"API Gateway, Service Mesh 를 company-wide 적용 경험 * Strong Java, distributed systems, micro services, messaging services 전형 절차..."
d7e490bf343e5721,인공지능AI 기술연구개발(신입/경력),아이디어콘서트 성남 분당구,,"터마이징 가능자 -OpenCV 영상처리 라이브러리 유경험자 [우대조건] - java, jsp 경험자 -node.js 경험자 -Git 사용 가능자 -관련... 라이브러리 유경험자 [우대조건] - java, jsp 경험자 -node.js..."
830a019b35a02eee,"쇼핑몰관리, 웹디자이너",엘에스비그룹 서울 강남구,"연봉 24,000,000원","(주)엘에스비그룹 | 무역(수출, 수입), 컨설팅, 전자상거래 | 포토샵,플래시,일러스트,HTML·코딩,CSS, java,상품등록,운영보조,게시판관리,스타일리스트 | 계약직,인턴직 | 1년이상 | 월~금 | 조일근무 | 연봉 24..."
d0ed8660cd98f4c0,빅데이터 플랫폼 개발자,카카오 4.2 성남 판교역,,을 통한 데이터 클러스터링 및 abnormal 데이터 분석 지원자격 개발 경력 2년 이상 Pyrhon/ Java/Scala 등의 언어로 개발하실 수 있는 분 오픈소스와 빅데이터 플랫폼에 관심이 많으신 분 대용량 데이터...
ff650ca5454bb920,사업하고 싶은 야망있는 개발자,케어마인드 서울 강남구,,"유지보수 - 에포터 안드로이드 앱 확장 서비스 개발 - 에포터 안드로이드 앱 기획 참여 사용기술 - 언어: Java, Php - DB: MYSQL, Sqlite - 서버: 구글 클라우드 플랫폼 - 이미지처리: Glide..."
e1f69611698b1585,"JAVA, C언어 개발자",이지서티 서울 구로구,,"(주)이지서티 JAVA/C언어 솔루션개발자 신입 및 경력직 채용 JAVA솔루션개발자 모집요강 분 야 모집부문 담당업무 자격요건 및 우대사항 개발직군 ( JAVA) 솔루션 개발 - JAVA, C, JSP 개발자 - 빅데이터기반..."
430dbeed889014b6,JAVA 프로그램 개발자(신입),이피피에스 서울 강남구,"연봉 20,000,000원 - 22,000,000원","들을?활용한?비지니스애플리케이션?개발업무? HTML,?CSS,?JSP,?jQuery,?AngularJS,? JAVA,?Spring, Oracle,?MSSQL,?MySQL 상세모집요강 접수기간/방법 지원방법 전형절차 및..."
fb617eeb80ea6fa9,AI/빅데이터 분야 (인재 Pool),LG유플러스 3.8 서울,,"scikit-learn/Tensorflow 등) 능숙자 . Deep Learning Model 구현 경험자 . Java, Python등을 이용하여 분석을 위한 Data Manipulation (전처리, 분석 마트생성 등)경험..."
b88b3a4aadbe0eb4,(업계1위/복지우수) JAVA 개발자 경력직 공개 / 빅데이터 광고 플랫...,인라이플 서울 구로구,,인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>API|인터넷·IT·통신·모바일·게임>웹프로그래머> JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신...
385c58c7ced1d77b,데이터 사이언티스트 지향하는 데이터 엔지니어,카카오 4.2 성남 판교역,,"Hive, Spark 등 빅데이터 분석 플랫폼을 사용하여 대용량 데이터의 수집,가공이 가능한 분 프로그램 개발( Java, python 등) 기술을 보유하신 분 직무 관련 경력 2년 이상 어떤 일이라도 중요하게 여기며 책임감..."
2df89ff4453791b3,[포스피드] 백앤드 개발 경력직 (정규직),헬로월드 서울 강남구,,4년 이상( ) [기본자격] - Java / Javascript 개발 역량... 게임>웹프로그래머>PHP |인터넷·IT·통신·모바일·게임>웹프로그래머> JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>EJB|인터넷·IT·통신...
